index, number,insert_comparisons,search_comparisons
0,7332,0,1
1,8073,1,3
2,1423,1,3
3,7564,2,5
4,1607,2,5
5,3643,3,5
6,8865,2,5
7,9039,3,7
8,5768,3,7
9,7600,3,7
10,6015,4,7
11,1678,4,7
12,4898,3,7
13,1585,4,9
14,1950,4,9
15,3082,5,9
16,1471,5,7
17,6403,4,9
18,2577,5,9
19,2668,5,7
20,4536,4,9
21,4488,5,9
22,1612,4,9
23,6885,5,9
24,300,4,9
25,6328,5,11
26,2204,5,11
27,5633,5,11
28,351,5,7
29,5810,5,11
30,9894,5,9
31,914,5,9
32,4292,5,11
33,7102,5,11
34,8382,5,11
35,8314,6,11
36,879,5,11
37,9125,5,11
38,6201,6,13
39,2105,6,11
40,2100,6,11
41,1459,4,9
42,1572,5,11
43,2056,6,11
44,9860,6,9
45,5419,6,9
46,5414,6,13
47,3988,6,11
48,6457,5,11
49,763,6,11
50,9155,6,11
51,3871,6,13
52,671,6,11
53,866,5,11
54,2867,6,11
55,7300,6,13
56,6198,7,13
57,7712,6,11
58,2674,6,11
59,8362,6,13
60,4853,6,13
61,1245,6,13
62,1721,5,11
63,1067,7,11
64,9602,6,11
65,4604,7,13
66,8734,6,13
67,1365,7,13
68,6431,6,13
69,6209,7,13
70,6759,6,13
71,5872,7,15
72,5223,7,15
73,5937,8,15
74,597,6,13
75,5601,7,15
76,1401,7,13
77,7433,6,13
78,5486,8,15
79,2062,6,13
80,659,7,11
81,402,7,13
82,3883,7,11
83,1891,6,13
84,1940,7,13
85,1699,7,13
86,2883,6,11
87,581,7,13
88,2651,6,13
89,6136,7,15
90,5287,8,13
91,2549,6,13
92,5155,8,15
93,6609,7,15
94,5169,8,13
95,1064,7,15
96,8499,7,13
97,1982,6,13
98,2007,7,13
99,4628,8,13
100,7185,7,11
101,793,7,15
102,3812,7,13
103,1485,7,13
104,8824,7,13
105,9860,6,9
106,3112,5,11
107,7041,7,15
108,4602,8,15
109,6742,8,13
110,878,7,15
111,2128,7,15
112,7175,7,15
113,1456,6,13
114,7167,8,15
115,2624,7,13
116,541,7,11
117,4116,8,15
118,1238,7,15
119,2352,7,13
120,4818,6,13
121,1544,7,15
122,4563,7,13
123,7292,8,13
124,6001,8,15
125,4167,8,15
126,2708,7,13
127,7216,8,17
128,6402,7,15
129,1177,8,15
130,5025,6,13
131,3057,7,15
132,3085,7,15
133,2933,8,13
134,7078,8,17
135,5208,6,13
136,3999,8,15
137,2596,6,13
138,6439,7,15
139,1536,8,13
140,1102,8,15
141,3223,7,15
142,9519,8,17
143,290,6,13
144,6506,8,17
145,1675,7,15
146,7785,7,15
147,3470,8,15
148,9701,8,17
149,9404,9,17
150,5026,7,11
151,5053,7,15
152,9732,9,17
153,2728,8,15
154,623,5,11
155,2117,8,13
156,7622,7,15
157,7574,7,15
158,4955,7,15
159,2029,7,13
160,6133,8,15
161,4679,7,13
162,212,7,13
163,9266,9,17
164,7866,8,15
165,7915,8,15
166,5495,7,13
167,6729,8,17
168,4790,7,15
169,6823,8,17
170,3496,8,15
171,1285,8,15
172,5262,6,13
173,2614,8,13
174,1319,8,15
175,6075,8,17
176,1030,7,11
177,3821,7,11
178,4575,7,15
179,3332,8,15
180,8130,7,15
181,243,8,15
182,7793,8,17
