index, number,insert_comparisons,search_comparisons
0,7332,0,1
1,8073,1,3
2,1423,1,3
3,7564,2,5
4,1607,2,5
5,3643,3,7
6,8865,2,5
7,9039,3,7
8,5768,4,9
9,7600,3,7
10,6015,5,11
11,1678,4,9
12,4898,5,11
13,1585,3,7
14,1950,5,11
15,3082,6,13
16,1471,4,9
17,6403,6,13
18,2577,7,15
19,2668,8,17
20,4536,6,13
21,4488,7,15
22,1612,5,11
23,6885,7,15
24,300,2,5
25,6328,7,15
26,2204,8,17
27,5633,6,13
28,351,3,7
29,5810,6,13
30,9894,4,9
31,914,4,9
32,4292,8,17
33,7102,8,17
34,8382,3,7
35,8314,4,9
36,879,5,11
37,9125,5,11
38,6201,8,17
39,2105,9,19
40,2100,10,21
41,1459,5,11
42,1572,5,11
43,2056,11,23
44,9860,6,13
45,5419,7,15
46,5414,8,17
47,3988,9,19
48,6457,8,17
49,763,6,13
50,9155,7,15
51,3871,10,21
52,671,7,15
53,866,7,15
54,2867,9,19
55,7300,9,19
56,6198,9,19
57,7712,4,9
58,2674,10,21
59,8362,5,11
60,4853,7,15
61,1245,5,11
62,1721,6,13
63,1067,6,13
64,9602,8,17
65,4604,8,17
66,8734,4,9
67,1365,6,13
68,6431,9,19
69,6209,9,19
70,6759,9,19
71,5872,7,15
72,5223,9,19
73,5937,8,17
74,597,8,17
75,5601,8,17
76,1401,7,15
77,7433,3,7
78,5486,9,19
79,2062,12,25
80,659,9,19
81,402,9,19
82,3883,11,23
83,1891,7,15
84,1940,8,17
85,1699,7,15
86,2883,10,21
87,581,10,21
88,2651,9,19
89,6136,10,21
90,5287,10,21
91,2549,9,19
92,5155,10,21
93,6609,10,21
94,5169,11,23
95,1064,7,15
96,8499,5,11
97,1982,12,25
98,2007,13,27
99,4628,9,19
100,7185,10,21
101,793,8,17
102,3812,11,23
103,1485,6,13
104,8824,5,11
105,9860,7,13
106,3112,7,15
107,7041,9,19
108,4602,9,19
109,6742,11,23
110,878,8,17
111,2128,10,21
112,7175,11,23
113,1456,6,13
114,7167,12,25
115,2624,10,21
116,541,11,23
117,4116,10,21
118,1238,7,15
119,2352,10,21
120,4818,10,21
121,1544,7,15
122,4563,10,21
123,7292,11,23
124,6001,9,19
125,4167,11,23
126,2708,11,23
127,7216,12,25
128,6402,8,17
129,1177,8,17
130,5025,11,23
131,3057,11,23
132,3085,8,17
133,2933,12,25
134,7078,10,21
135,5208,12,25
136,3999,11,23
137,2596,11,23
138,6439,10,21
139,1536,8,17
140,1102,9,19
141,3223,8,17
142,9519,9,19
143,290,3,7
144,6506,11,23
145,1675,6,13
146,7785,5,11
147,3470,9,19
148,9701,9,19
149,9404,10,21
150,5026,12,25
151,5053,13,27
152,9732,10,21
153,2728,12,25
154,623,10,21
155,2117,11,23
156,7622,5,11
157,7574,4,9
158,4955,12,25
159,2029,14,29
160,6133,11,23
161,4679,11,23
162,212,4,9
163,9266,11,23
164,7866,6,13
165,7915,7,15
166,5495,10,21
167,6729,12,25
168,4790,12,25
169,6823,10,21
170,3496,10,21
171,1285,7,15
172,5262,11,23
173,2614,12,25
174,1319,8,17
175,6075,12,25
176,1030,8,17
177,3821,12,25
178,4575,11,23
179,3332,10,21
180,8130,5,11
181,243,5,11
182,7793,7,15
