index, number,insert_comparisons,search_comparisons
347,347,9,17
348,348,9,17
349,349,9,17
350,350,9,17
351,351,9,17
352,352,9,17
353,353,9,17
354,354,9,17
355,355,9,17
356,356,9,17
357,357,9,17
358,358,9,17
359,359,9,17
360,360,9,17
361,361,9,17
362,362,9,17
363,363,9,17
364,364,9,17
365,365,9,17
366,366,9,17
367,367,9,17
368,368,9,17
369,369,9,17
370,370,9,17
371,371,9,17
372,372,9,17
373,373,9,17
374,374,9,17
375,375,9,17
376,376,9,17
377,377,9,17
378,378,9,17
379,379,9,17
380,380,9,17
381,381,9,17
382,382,9,17
383,383,9,17
384,384,9,17
385,385,9,17
386,386,9,17
387,387,9,17
388,388,9,17
389,389,9,17
390,390,9,17
391,391,9,17
392,392,9,17
393,393,9,17
394,394,9,17
395,395,9,17
396,396,9,17
397,397,9,17
398,398,9,17
399,399,9,17
400,400,9,17
401,401,9,17
402,402,9,17
403,403,9,17
404,404,9,17
405,405,9,17
406,406,9,17
407,407,9,17
408,408,9,17
409,409,9,17
410,410,9,17
411,411,9,17
412,412,9,17
413,413,9,17
414,414,9,17
415,415,9,17
416,416,9,17
417,417,9,17
418,418,9,17
419,419,9,17
420,420,9,17
421,421,9,17
422,422,9,17
423,423,9,17
424,424,9,17
425,425,9,17
426,426,9,17
427,427,9,17
428,428,9,17
429,429,9,17
430,430,9,17
431,431,9,17
432,432,9,17
433,433,9,17
434,434,9,17
435,435,9,17
436,436,9,17
437,437,9,17
438,438,9,17
439,439,9,17
440,440,9,17
441,441,9,17
442,442,9,17
443,443,9,17
444,444,9,17
445,445,9,17
446,446,9,17
447,447,9,17
448,448,9,17
449,449,9,17
450,450,9,17
451,451,9,17
452,452,9,17
453,453,9,17
454,454,9,17
455,455,9,17
456,456,9,17
457,457,9,17
458,458,9,17
459,459,9,17
460,460,9,17
461,461,9,17
462,462,9,17
463,463,9,17
464,464,9,17
465,465,9,17
466,466,9,17
467,467,9,17
468,468,9,17
469,469,9,17
470,470,9,17
471,471,9,17
472,472,9,17
473,473,9,17
474,474,9,17
475,475,9,17
476,476,9,17
477,477,9,17
478,478,9,17
479,479,9,17
480,480,9,17
481,481,9,17
482,482,9,17
483,483,9,17
484,484,9,17
485,485,9,17
486,486,9,17
487,487,9,17
488,488,9,17
489,489,9,17
490,490,9,17
491,491,9,17
492,492,9,17
493,493,9,17
494,494,9,17
495,495,9,17
496,496,9,17
497,497,9,17
498,498,9,17
499,499,9,17
500,500,9,17
501,501,9,17
502,502,9,17
503,503,9,17
504,504,9,17
505,505,9,17
506,506,9,17
507,507,9,17
508,508,9,17
509,509,9,17
510,510,9,17
511,511,9,19
512,512,10,19
513,513,10,19
514,514,10,19
515,515,10,19
516,516,10,19
517,517,10,19
518,518,10,19
519,519,10,19
520,520,10,19
521,521,10,19
522,522,10,19
523,523,10,19
524,524,10,19
525,525,10,19
526,526,10,19
527,527,10,19
528,528,10,19
529,529,10,19
530,530,10,19
531,531,10,19
532,532,10,19
533,533,10,19
534,534,10,19
535,535,10,19
536,536,10,19
537,537,10,19
538,538,10,19
539,539,10,19
540,540,10,19
541,541,10,19
542,542,10,19
543,543,10,19
544,544,10,19
545,545,10,19
546,546,10,19
547,547,10,19
548,548,10,19
549,549,10,19
550,550,10,19
551,551,10,19
552,552,10,19
553,553,10,19
554,554,10,19
555,555,10,19
556,556,10,19
557,557,10,19
558,558,10,19
559,559,10,19
560,560,10,19
561,561,10,19
562,562,10,19
563,563,10,19
564,564,10,19
565,565,10,19
566,566,10,19
567,567,10,19
568,568,10,19
569,569,10,19
570,570,10,19
571,571,10,19
572,572,10,19
573,573,10,19
574,574,10,19
575,575,10,19
576,576,10,19
577,577,10,19
578,578,10,19
579,579,10,19
580,580,10,19
581,581,10,19
582,582,10,19
583,583,10,19
584,584,10,19
585,585,10,19
586,586,10,19
587,587,10,19
588,588,10,19
589,589,10,19
590,590,10,19
591,591,10,19
592,592,10,19
593,593,10,19
594,594,10,19
595,595,10,19
596,596,10,19
597,597,10,19
598,598,10,19
599,599,10,19
600,600,10,19
601,601,10,19
602,602,10,19
603,603,10,19
604,604,10,19
605,605,10,19
606,606,10,19
607,607,10,19
608,608,10,19
609,609,10,19
610,610,10,19
611,611,10,19
612,612,10,19
613,613,10,19
614,614,10,19
615,615,10,19
616,616,10,19
617,617,10,19
618,618,10,19
619,619,10,19
620,620,10,19
621,621,10,19
622,622,10,19
623,623,10,19
624,624,10,19
625,625,10,19
626,626,10,19
627,627,10,19
628,628,10,19
629,629,10,19
630,630,10,19
631,631,10,19
632,632,10,19
633,633,10,19
634,634,10,19
635,635,10,19
636,636,10,19
637,637,10,19
638,638,10,19
639,639,10,19
640,640,10,19
641,641,10,19
642,642,10,19
643,643,10,19
644,644,10,19
645,645,10,19
646,646,10,19
647,647,10,19
648,648,10,19
649,649,10,19
650,650,10,19
651,651,10,19
652,652,10,19
653,653,10,19
654,654,10,19
655,655,10,19
656,656,10,19
657,657,10,19
658,658,10,19
659,659,10,19
660,660,10,19
661,661,10,19
662,662,10,19
663,663,10,19
664,664,10,19
665,665,10,19
666,666,10,19
667,667,10,19
668,668,10,19
669,669,10,19
670,670,10,19
671,671,10,19
672,672,10,19
673,673,10,19
674,674,10,19
675,675,10,19
676,676,10,19
677,677,10,19
678,678,10,19
679,679,10,19
680,680,10,19
681,681,10,19
682,682,10,19
683,683,10,19
684,684,10,19
685,685,10,19
686,686,10,19
687,687,10,19
688,688,10,19
689,689,10,19
690,690,10,19
691,691,10,19
692,692,10,19
693,693,10,19
694,694,10,19
695,695,10,19
696,696,10,19
697,697,10,19
698,698,10,19
699,699,10,19
700,700,10,19
701,701,10,19
702,702,10,19
703,703,10,19
704,704,10,19
705,705,10,19
706,706,10,19
707,707,10,19
708,708,10,19
709,709,10,19
710,710,10,19
711,711,10,19
712,712,10,19
713,713,10,19
714,714,10,19
715,715,10,19
716,716,10,19
717,717,10,19
718,718,10,19
719,719,10,19
720,720,10,19
721,721,10,19
722,722,10,19
723,723,10,19
724,724,10,19
725,725,10,19
726,726,10,19
727,727,10,19
728,728,10,19
729,729,10,19
730,730,10,19
731,731,10,19
732,732,10,19
733,733,10,19
734,734,10,19
735,735,10,19
736,736,10,19
737,737,10,19
738,738,10,19
739,739,10,19
740,740,10,19
741,741,10,19
742,742,10,19
743,743,10,19
744,744,10,19
745,745,10,19
746,746,10,19
747,747,10,19
748,748,10,19
749,749,10,19
750,750,10,19
751,751,10,19
752,752,10,19
753,753,10,19
754,754,10,19
755,755,10,19
756,756,10,19
757,757,10,19
758,758,10,19
759,759,10,19
760,760,10,19
761,761,10,19
762,762,10,19
763,763,10,19
764,764,10,19
765,765,10,19
766,766,10,19
767,767,10,19
768,768,10,19
769,769,10,19
770,770,10,19
771,771,10,19
772,772,10,19
773,773,10,19
774,774,10,19
775,775,10,19
776,776,10,19
777,777,10,19
778,778,10,19
779,779,10,19
780,780,10,19
781,781,10,19
782,782,10,19
783,783,10,19
784,784,10,19
785,785,10,19
786,786,10,19
787,787,10,19
788,788,10,19
789,789,10,19
790,790,10,19
791,791,10,19
792,792,10,19
793,793,10,19
794,794,10,19
795,795,10,19
796,796,10,19
797,797,10,19
798,798,10,19
799,799,10,19
800,800,10,19
801,801,10,19
802,802,10,19
803,803,10,19
804,804,10,19
805,805,10,19
806,806,10,19
807,807,10,19
808,808,10,19
809,809,10,19
810,810,10,19
811,811,10,19
812,812,10,19
813,813,10,19
814,814,10,19
815,815,10,19
816,816,10,19
817,817,10,19
818,818,10,19
819,819,10,19
820,820,10,19
821,821,10,19
822,822,10,19
823,823,10,19
824,824,10,19
825,825,10,19
826,826,10,19
827,827,10,19
828,828,10,19
829,829,10,19
830,830,10,19
831,831,10,19
832,832,10,19
833,833,10,19
834,834,10,19
835,835,10,19
836,836,10,19
837,837,10,19
838,838,10,19
839,839,10,19
840,840,10,19
841,841,10,19
842,842,10,19
843,843,10,19
844,844,10,19
845,845,10,19
846,846,10,19
847,847,10,19
848,848,10,19
849,849,10,19
850,850,10,19
851,851,10,19
852,852,10,19
853,853,10,19
854,854,10,19
855,855,10,19
856,856,10,19
857,857,10,19
858,858,10,19
